                         List of relations
 Schema |                Name                 |   Type   |  Owner   
--------+-------------------------------------+----------+----------
 public | agent_behavior_monitoring           | table    | postgres
 public | agent_behavior_monitoring_id_seq    | sequence | postgres
 public | agent_coordination                  | table    | postgres
 public | agent_coordination_id_seq           | sequence | postgres
 public | agent_messages                      | table    | postgres
 public | agent_performance                   | table    | postgres
 public | agent_performance_id_seq            | sequence | postgres
 public | agent_performance_tracking          | table    | postgres
 public | agent_performance_tracking_id_seq   | sequence | postgres
 public | agent_runtimes                      | table    | postgres
 public | agent_runtimes_id_seq               | sequence | postgres
 public | agent_skills                        | table    | postgres
 public | agent_tool_permissions              | table    | postgres
 public | agent_tool_permissions_id_seq       | sequence | postgres
 public | agent_tools                         | table    | postgres
 public | agent_tools_id_seq                  | sequence | postgres
 public | agents                              | table    | postgres
 public | agents_id_seq                       | sequence | postgres
 public | alert_configs                       | table    | postgres
 public | alert_configs_id_seq                | sequence | postgres
 public | analytics_snapshots                 | table    | postgres
 public | analytics_snapshots_id_seq          | sequence | postgres
 public | benchmark_assessments               | table    | postgres
 public | benchmark_assessments_id_seq        | sequence | postgres
 public | code_edges                          | table    | postgres
 public | code_symbols                        | table    | postgres
 public | collaboration_proposals             | table    | postgres
 public | collaboration_proposals_id_seq      | sequence | postgres
 public | collaboration_sessions              | table    | postgres
 public | component_metrics                   | table    | postgres
 public | component_metrics_id_seq            | sequence | postgres
 public | consensus_votes                     | table    | postgres
 public | consensus_votes_id_seq              | sequence | postgres
 public | context_examples                    | table    | postgres
 public | context_examples_id_seq             | sequence | postgres
 public | context_optimization_metrics        | table    | postgres
 public | context_optimization_metrics_id_seq | sequence | postgres
 public | context_optimizations               | table    | postgres
 public | context_optimizations_id_seq        | sequence | postgres
 public | context_patterns                    | table    | postgres
 public | context_patterns_id_seq             | sequence | postgres
 public | context_permissions                 | table    | postgres
 public | context_permissions_id_seq          | sequence | postgres
 public | context_policies                    | table    | postgres
 public | context_queries                     | table    | postgres
 public | context_queries_id_seq              | sequence | postgres
 public | context_sources                     | table    | postgres
 public | context_sources_id_seq              | sequence | postgres
 public | context_templates                   | table    | postgres
 public | context_templates_id_seq            | sequence | postgres
 public | context_usage                       | table    | postgres
 public | context_usage_id_seq                | sequence | postgres
 public | credential_audit_logs               | table    | postgres
 public | credential_audit_logs_id_seq        | sequence | postgres
 public | custom_metrics                      | table    | postgres
 public | custom_metrics_id_seq               | sequence | postgres
 public | dashboard_configs                   | table    | postgres
 public | dashboard_configs_id_seq            | sequence | postgres
 public | document_chunks                     | table    | postgres
 public | document_chunks_id_seq              | sequence | postgres
 public | documents                           | table    | postgres
 public | documents_id_seq                    | sequence | postgres
 public | evaluation_results                  | table    | postgres
 public | evaluation_results_id_seq           | sequence | postgres
 public | execution_contexts                  | table    | postgres
 public | execution_contexts_id_seq           | sequence | postgres
 public | external_knowledge                  | table    | postgres
 public | external_knowledge_id_seq           | sequence | postgres
 public | field_interactions                  | table    | postgres
 public | field_interactions_id_seq           | sequence | postgres
 public | field_states                        | table    | postgres
 public | field_states_id_seq                 | sequence | postgres
 public | integration_analysis                | table    | postgres
 public | integration_analysis_id_seq         | sequence | postgres
 public | knowledge_edges                     | table    | postgres
 public | knowledge_nodes                     | table    | postgres
 public | learning_outcomes                   | table    | postgres
 public | learning_outcomes_id_seq            | sequence | postgres
 public | learning_progress_tracking          | table    | postgres
 public | learning_progress_tracking_id_seq   | sequence | postgres
 public | memory_items                        | table    | postgres
 public | message_broadcasts                  | table    | postgres
 public | multi_agent_reasoning               | table    | postgres
 public | multi_agent_reasoning_id_seq        | sequence | postgres
 public | patterns                            | table    | postgres
 public | patterns_id_seq                     | sequence | postgres
 public | permission_audit_logs               | table    | postgres
 public | permission_audit_logs_id_seq        | sequence | postgres
 public | playbooks                           | table    | postgres
 public | rag_configurations                  | table    | postgres
 public | rag_configurations_id_seq           | sequence | postgres
 public | schema_versions                     | table    | postgres
 public | shared_contexts                     | table    | postgres
 public | skills                              | table    | postgres
 public | skills_id_seq                       | sequence | postgres
 public | system_configurations               | table    | postgres
 public | system_configurations_id_seq        | sequence | postgres
 public | system_metrics                      | table    | postgres
 public | system_metrics_id_seq               | sequence | postgres
 public | task_assignments                    | table    | postgres
 public | task_assignments_id_seq             | sequence | postgres
 public | task_decompositions                 | table    | postgres
 public | task_decompositions_id_seq          | sequence | postgres
 public | tasks                               | table    | postgres
 public | tasks_id_seq                        | sequence | postgres
 public | tool_configurations                 | table    | postgres
 public | tool_configurations_id_seq          | sequence | postgres
 public | tool_credentials                    | table    | postgres
 public | tool_credentials_id_seq             | sequence | postgres
 public | tool_usage_logs                     | table    | postgres
 public | tool_usage_logs_id_seq              | sequence | postgres
 public | tools                               | table    | postgres
 public | tools_id_seq                        | sequence | postgres
 public | users                               | table    | postgres
 public | users_id_seq                        | sequence | postgres
 public | workflow_agents                     | table    | postgres
 public | workflow_executions                 | table    | postgres
 public | workflow_executions_id_seq          | sequence | postgres
 public | workflows                           | table    | postgres
 public | workflows_id_seq                    | sequence | postgres
(120 rows)

